"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 45,"early_dry",3.253861e+00,1,0,32.73520,0.104481003,0.063359826,0.030192146,0.305510575
 45,"late_dry",1.686974e-01,4,1,29.98080,0.043269962,0.059332108,0.003555687,0.434967194
 45,"late_wet",4.160407e+01,3,0,37.65448,0.223747159,0.160517228,0.055416500,0.613633990
 45,"wet",1.898726e+01,4,0,36.84850,0.089549590,0.090580068,0.017768700,0.455686648
 46,"dry",1.177709e+01,0,1,24.42046,0.074884853,0.071891331,0.011588083,0.384988941
 46,"early_dry",1.424339e+01,2,0,29.57645,0.114012083,0.082388914,0.027072259,0.389810426
 46,"late_dry",2.771627e-01,1,1,31.50361,0.039411584,0.041930344,0.005204818,0.273170887
 46,"late_wet",3.292867e+01,5,0,37.26522,0.235412140,0.229955358,0.050172117,0.685444617
 46,"wet",2.716889e+01,4,1,36.05153,0.091315727,0.105684344,0.011959181,0.542375043
 47,"dry",1.979279e+00,2,1,24.69230,0.077957455,0.082432185,0.009556849,0.446699282
 47,"early_dry",1.670418e+01,3,0,29.61745,0.114719873,0.098640851,0.023326219,0.462898001
 47,"late_dry",4.175966e-01,3,0,30.30209,0.041345153,0.044092708,0.005637682,0.287464827
 47,"late_wet",5.210804e+01,1,0,39.31922,0.204495587,0.104456296,0.068690828,0.472953271
 47,"wet",5.610334e+01,0,0,36.31312,0.078615836,0.040054236,0.028212446,0.200520601
 48,"dry",1.055845e+01,0,0,25.36430,0.071262432,0.054739481,0.014965652,0.279383309
 48,"early_dry",3.152393e+00,3,0,28.77861,0.121567018,0.104523466,0.024395907,0.482635833
 48,"late_dry",3.618961e-02,0,1,32.40693,0.037765878,0.040289101,0.005095850,0.266327042
 48,"late_wet",2.527700e+01,3,0,37.32587,0.233269812,0.164798307,0.058529370,0.626892499
 48,"wet",4.854901e+01,2,0,33.21741,0.090716683,0.060235921,0.025181477,0.300768202
