"index","season_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 58,"late_dry",2,0,29.73247,0.36837817,0.14053694,0.15953034,0.63412688
 58,"late_wet",2,0,38.75416,0.20660403,0.10881556,0.07275404,0.45706903
 58,"wet",4,1,36.13371,0.15327654,0.13128347,0.02662800,0.53381216
 59,"dry",5,0,24.85165,0.26113932,0.23797716,0.04691377,0.65271686
 59,"early_dry",2,0,31.01877,0.25652870,0.10713973,0.11299361,0.48055329
 59,"late_dry",2,0,32.45189,0.33364479,0.13968955,0.13743951,0.60011678
 59,"late_wet",1,1,36.84260,0.18034590,0.11310818,0.05518632,0.49733323
 59,"wet",0,0,36.70492,0.10907599,0.03536857,0.05748929,0.19738923
 60,"dry",2,1,26.08503,0.15849801,0.09426490,0.04824814,0.42494847
 60,"early_dry",1,1,29.46714,0.22391998,0.12203436,0.08316089,0.52795386
 60,"late_dry",5,1,30.96127,0.40329205,0.27748287,0.07124422,0.83243601
 60,"late_wet",5,1,37.66251,0.25831717,0.23252968,0.03477250,0.73856800
 60,"wet",0,0,33.07484,0.13098330,0.03796632,0.07283034,0.22432988
 61,"dry",3,1,26.11893,0.17560344,0.11705922,0.04430293,0.49622356
 61,"early_dry",3,1,30.32373,0.25843315,0.16455012,0.06595324,0.64086495
 61,"late_dry",5,1,29.74780,0.41951805,0.27993822,0.07598325,0.84258466
 61,"late_wet",0,0,38.19876,0.17208230,0.06266570,0.08097084,0.32906591
 61,"wet",5,1,37.31530,0.16340059,0.16478997,0.02097967,0.60507973
 62,"dry",0,0,24.51923,0.15786995,0.06052767,0.07155795,0.31345524
 62,"early_dry",2,0,29.45354,0.27355466,0.11007525,0.12184432,0.50408580
 62,"late_dry",5,0,31.09918,0.43852818,0.28070078,0.10234781,0.76768007
 62,"late_wet",1,1,36.55670,0.18292607,0.11450575,0.05616271,0.50144940
 62,"wet",2,0,36.24934,0.14026339,0.07354961,0.05341781,0.32168637
 63,"dry",2,1,24.90371,0.16812387,0.09982944,0.05136185,0.44366616
 63,"early_dry",3,0,30.75448,0.28505452,0.15502034,0.09989043,0.57381494
 63,"late_dry",4,0,28.94718,0.43814335,0.23415244,0.12949901,0.75850013
 63,"late_wet",5,0,38.82888,0.28015389,0.25380766,0.04834064,0.66878138
 63,"wet",2,0,36.56796,0.13824247,0.07341617,0.05212278,0.31945695
 64,"dry",1,0,25.08718,0.17006529,0.07058306,0.07265226,0.35051987
 64,"early_dry",2,0,29.62986,0.27159026,0.10963089,0.12094294,0.50114950
 64,"late_dry",5,0,29.37030,0.46192768,0.27995411,0.11255459,0.78384937
 64,"late_wet",1,1,37.48760,0.17464294,0.11016003,0.05292291,0.48851098
 64,"wet",0,0,33.43361,0.12862161,0.03719362,0.07156819,0.22036097
